============================================================
2D FIRST-ORDER MESH QUALITY REPORT
============================================================
Input file : E:\CAE_AI\Manual_Mesh_Quality_Review\plate_with_hole_mesh.inp

Thresholds:
  Aspect ratio          : < 5.0
  Skew                  : <= 45.0 deg
  Quad corner angles    : 45.0 - 135.0 deg
  Tria corner angles    : 30.0 - 120.0 deg
  Small element length  : < 0.9 mm

1. Total elements : 2295
2. No of Quads    : 1743
3. No of Trias    : 552

Deviation (elements failing threshold):

                           Quads     Trias     Total
1785            TRI     S3R                       0.7227
960             QUAD    S4R                       0.7230
125             QUAD    S4R                       0.7230
1223            QUAD    S4R                       0.7259
92              QUAD    S4R                       0.7301
538             QUAD    S4R                       0.7302
2007            TRI     S3R                       0.7302
973             QUAD    S4R                       0.7313
555             QUAD    S4R                       0.7315
802             QUAD    S4R                       0.7323
808             QUAD    S4R                       0.7323
604             QUAD    S4R                       0.7324
964             QUAD    S4R                       0.7324
1167            QUAD    S4R                       0.7334
1547            QUAD    S4R                       0.7334
1073            QUAD    S4R                       0.7341
1063            QUAD    S4R                       0.7357
2056            TRI     S3R                       0.7357
1338            QUAD    S4R                       0.7364
1090            QUAD    S4R                       0.7367
418             QUAD    S4R                       0.7385
1696            QUAD    S4R                       0.7454
1483            QUAD    S4R                       0.7459
1737            QUAD    S4R                       0.7459
1793            TRI     S3R                       0.7480
682             QUAD    S4R                       0.7480
861             QUAD    S4R                       0.7481
1373            QUAD    S4R                       0.7481
445             QUAD    S4R                       0.7481
268             QUAD    S4R                       0.7484
161             QUAD    S4R                       0.7484
1106            QUAD    S4R                       0.7500
136             QUAD    S4R                       0.7514
1378            QUAD    S4R                       0.7539
2137            TRI     S3R                       0.7542
2276            TRI     S3R                       0.7548
1140            QUAD    S4R                       0.7561
494             QUAD    S4R                       0.7561
1155            QUAD    S4R                       0.7595
2160            TRI     S3R                       0.7595
215             QUAD    S4R                       0.7597
239             QUAD    S4R                       0.7607
1101            QUAD    S4R                       0.7610
1860            TRI     S3R                       0.7610
285             QUAD    S4R                       0.7623
502             QUAD    S4R                       0.7630
1204            QUAD    S4R                       0.7630
741             QUAD    S4R                       0.7640
1134            QUAD    S4R                       0.7641
1184            QUAD    S4R                       0.7643
329             QUAD    S4R                       0.7654
1869            TRI     S3R                       0.7654
200             QUAD    S4R                       0.7660
1135            QUAD    S4R                       0.7661
314             QUAD    S4R                       0.7661
1280            QUAD    S4R                       0.7668
57              QUAD    S4R                       0.7674
433             QUAD    S4R                       0.7678
1472            QUAD    S4R                       0.7678
1886            TRI     S3R                       0.7683
1056            QUAD    S4R                       0.7690
290             QUAD    S4R                       0.7690
2051            TRI     S3R                       0.7690
1782            TRI     S3R                       0.7702
1220            QUAD    S4R                       0.7702
1826            TRI     S3R                       0.7706
2000            TRI     S3R                       0.7706
460             QUAD    S4R                       0.7706
2011            TRI     S3R                       0.7710
1689            QUAD    S4R                       0.7710
1299            QUAD    S4R                       0.7712
1539            QUAD    S4R                       0.7745
164             QUAD    S4R                       0.7768
101             QUAD    S4R                       0.7768
47              QUAD    S4R                       0.7771
522             QUAD    S4R                       0.7775
105             QUAD    S4R                       0.7775
1105            QUAD    S4R                       0.7781
2223            TRI     S3R                       0.7809
1659            QUAD    S4R                       0.7817
284             QUAD    S4R                       0.7817
1534            QUAD    S4R                       0.7826
1349            QUAD    S4R                       0.7826
1836            TRI     S3R                       0.7831
549             QUAD    S4R                       0.7831
37              QUAD    S4R                       0.7853
1397            QUAD    S4R                       0.7853
1085            QUAD    S4R                       0.7854
1396            QUAD    S4R                       0.7854
380             QUAD    S4R                       0.7859
114             QUAD    S4R                       0.7859
2152            TRI     S3R                       0.7866
35              QUAD    S4R                       0.7866
1348            QUAD    S4R                       0.7866
2162            TRI     S3R                       0.7866
2132            TRI     S3R                       0.7874
1402            QUAD    S4R                       0.7875
585             QUAD    S4R                       0.7880
1658            QUAD    S4R                       0.7892
1494            QUAD    S4R                       0.7894
1863            TRI     S3R                       0.7897
991             QUAD    S4R                       0.7898
553             QUAD    S4R                       0.7898
898             QUAD    S4R                       0.7903
148             QUAD    S4R                       0.7909
145             QUAD    S4R                       0.7909
1221            QUAD    S4R                       0.7912
546             QUAD    S4R                       0.7914
466             QUAD    S4R                       0.7914
2118            TRI     S3R                       0.7917
477             QUAD    S4R                       0.7918
1511            QUAD    S4R                       0.7919
877             QUAD    S4R                       0.7950
437             QUAD    S4R                       0.7956
219             QUAD    S4R                       0.7959
2145            TRI     S3R                       0.7959
1072            QUAD    S4R                       0.7959
1619            QUAD    S4R                       0.7960
160             QUAD    S4R                       0.7960
2249            TRI     S3R                       0.7962
1061            QUAD    S4R                       0.7962
724             QUAD    S4R                       0.7964
1385            QUAD    S4R                       0.7965
1798            TRI     S3R                       0.7966
182             QUAD    S4R                       0.7968
561             QUAD    S4R                       0.7968
1823            TRI     S3R                       0.7972
1701            QUAD    S4R                       0.7981
1387            QUAD    S4R                       0.7981
572             QUAD    S4R                       0.7986
1407            QUAD    S4R                       0.7986
1295            QUAD    S4R                       0.7993
1594            QUAD    S4R                       0.7993
122             QUAD    S4R                       0.7993
1481            QUAD    S4R                       0.7993
1404            QUAD    S4R                       0.8001
459             QUAD    S4R                       0.8001
2062            TRI     S3R                       0.8022
1644            QUAD    S4R                       0.8022
1365            QUAD    S4R                       0.8023
1999            TRI     S3R                       0.8026
686             QUAD    S4R                       0.8026
434             QUAD    S4R                       0.8038
480             QUAD    S4R                       0.8043
831             QUAD    S4R                       0.8045
779             QUAD    S4R                       0.8045
1374            QUAD    S4R                       0.8046
1210            QUAD    S4R                       0.8050
619             QUAD    S4R                       0.8067
2225            TRI     S3R                       0.8067
1625            QUAD    S4R                       0.8071
1119            QUAD    S4R                       0.8075
1122            QUAD    S4R                       0.8075
36              QUAD    S4R                       0.8079
263             QUAD    S4R                       0.8079
471             QUAD    S4R                       0.8110
2019            TRI     S3R                       0.8111
316             QUAD    S4R                       0.8117
2060            TRI     S3R                       0.8117
251             QUAD    S4R                       0.8124
1648            QUAD    S4R                       0.8124
578             QUAD    S4R                       0.8126
1273            QUAD    S4R                       0.8126
38              QUAD    S4R                       0.8128
1232            QUAD    S4R                       0.8140
1766            TRI     S3R                       0.8147
1366            QUAD    S4R                       0.8147
560             QUAD    S4R                       0.8165
1339            QUAD    S4R                       0.8168
28              QUAD    S4R                       0.8168
238             QUAD    S4R                       0.8171
1676            QUAD    S4R                       0.8177
1243            QUAD    S4R                       0.8178
1071            QUAD    S4R                       0.8180
1718            QUAD    S4R                       0.8189
653             QUAD    S4R                       0.8189
1825            TRI     S3R                       0.8211
1454            QUAD    S4R                       0.8217
1806            TRI     S3R                       0.8217
1635            QUAD    S4R                       0.8225
727             QUAD    S4R                       0.8230
1646            QUAD    S4R                       0.8250
692             QUAD    S4R                       0.8250
422             QUAD    S4R                       0.8251
1681            QUAD    S4R                       0.8251
1679            QUAD    S4R                       0.8268
2102            TRI     S3R                       0.8271
1259            QUAD    S4R                       0.8272
806             QUAD    S4R                       0.8272
1053            QUAD    S4R                       0.8274
1867            TRI     S3R                       0.8274
594             QUAD    S4R                       0.8282
2057            TRI     S3R                       0.8282
1216            QUAD    S4R                       0.8287
1039            QUAD    S4R                       0.8290
1261            QUAD    S4R                       0.8290
247             QUAD    S4R                       0.8292
1149            QUAD    S4R                       0.8308
441             QUAD    S4R                       0.8314
1258            QUAD    S4R                       0.8314
1045            QUAD    S4R                       0.8317
1852            TRI     S3R                       0.8317
937             QUAD    S4R                       0.8327
1040            QUAD    S4R                       0.8327
1618            QUAD    S4R                       0.8328
570             QUAD    S4R                       0.8332
1442            QUAD    S4R                       0.8335
1195            QUAD    S4R                       0.8336
1137            QUAD    S4R                       0.8336
785             QUAD    S4R                       0.8337
398             QUAD    S4R                       0.8337
1508            QUAD    S4R                       0.8337
240             QUAD    S4R                       0.8345
1308            QUAD    S4R                       0.8351
1110            QUAD    S4R                       0.8360
687             QUAD    S4R                       0.8361
307             QUAD    S4R                       0.8363
1008            QUAD    S4R                       0.8363
509             QUAD    S4R                       0.8364
1857            TRI     S3R                       0.8366
959             QUAD    S4R                       0.8377
1819            TRI     S3R                       0.8377
1062            QUAD    S4R                       0.8377
1284            QUAD    S4R                       0.8378
711             QUAD    S4R                       0.8379
132             QUAD    S4R                       0.8386
1878            TRI     S3R                       0.8386
637             QUAD    S4R                       0.8390
1078            QUAD    S4R                       0.8395
717             QUAD    S4R                       0.8396
1141            QUAD    S4R                       0.8396
1989            TRI     S3R                       0.8404
22              QUAD    S4R                       0.8404
1870            TRI     S3R                       0.8409
1884            TRI     S3R                       0.8425
690             QUAD    S4R                       0.8426
327             QUAD    S4R                       0.8439
2260            TRI     S3R                       0.8443
1127            QUAD    S4R                       0.8451
1256            QUAD    S4R                       0.8451
45              QUAD    S4R                       0.8461
1683            QUAD    S4R                       0.8461
452             QUAD    S4R                       0.8462
1801            TRI     S3R                       0.8463
1872            TRI     S3R                       0.8471
1292            QUAD    S4R                       0.8479
1275            QUAD    S4R                       0.8479
241             QUAD    S4R                       0.8486
610             QUAD    S4R                       0.8487
291             QUAD    S4R                       0.8490
1709            QUAD    S4R                       0.8493
551             QUAD    S4R                       0.8493
556             QUAD    S4R                       0.8496
1691            QUAD    S4R                       0.8499
2013            TRI     S3R                       0.8499
1359            QUAD    S4R                       0.8503
1112            QUAD    S4R                       0.8505
2157            TRI     S3R                       0.8506
1003            QUAD    S4R                       0.8511
489             QUAD    S4R                       0.8511
1994            TRI     S3R                       0.8515
2211            TRI     S3R                       0.8519
1239            QUAD    S4R                       0.8519
420             QUAD    S4R                       0.8521
1720            QUAD    S4R                       0.8521
6               QUAD    S4R                       0.8521
584             QUAD    S4R                       0.8542
66              QUAD    S4R                       0.8564
1154            QUAD    S4R                       0.8567
515             QUAD    S4R                       0.8567
496             QUAD    S4R                       0.8569
2188            TRI     S3R                       0.8570
41              QUAD    S4R                       0.8570
1993            TRI     S3R                       0.8573
417             QUAD    S4R                       0.8578
597             QUAD    S4R                       0.8582
249             QUAD    S4R                       0.8603
1468            QUAD    S4R                       0.8605
1672            QUAD    S4R                       0.8609
1684            QUAD    S4R                       0.8618
517             QUAD    S4R                       0.8618
701             QUAD    S4R                       0.8621
529             QUAD    S4R                       0.8621
633             QUAD    S4R                       0.8626
336             QUAD    S4R                       0.8628
1222            QUAD    S4R                       0.8635
483             QUAD    S4R                       0.8639
1713            QUAD    S4R                       0.8640
1152            QUAD    S4R                       0.8662
298             QUAD    S4R                       0.8663
409             QUAD    S4R                       0.8664
661             QUAD    S4R                       0.8664
192             QUAD    S4R                       0.8665
2187            TRI     S3R                       0.8665
984             QUAD    S4R                       0.8668
16              QUAD    S4R                       0.8678
3               QUAD    S4R                       0.8687
50              QUAD    S4R                       0.8687
405             QUAD    S4R                       0.8688
2140            TRI     S3R                       0.8691
1091            QUAD    S4R                       0.8698
2001            TRI     S3R                       0.8701
729             QUAD    S4R                       0.8703
1518            QUAD    S4R                       0.8711
787             QUAD    S4R                       0.8713
2284            TRI     S3R                       0.8717
157             QUAD    S4R                       0.8722
2215            TRI     S3R                       0.8724
662             QUAD    S4R                       0.8724
1524            QUAD    S4R                       0.8734
1247            QUAD    S4R                       0.8734
84              QUAD    S4R                       0.8735
2291            TRI     S3R                       0.8735
1862            TRI     S3R                       0.8744
1038            QUAD    S4R                       0.8745
1269            QUAD    S4R                       0.8750
742             QUAD    S4R                       0.8753
733             QUAD    S4R                       0.8766
1612            QUAD    S4R                       0.8776
230             QUAD    S4R                       0.8792
665             QUAD    S4R                       0.8792
1565            QUAD    S4R                       0.8795
1859            TRI     S3R                       0.8803
88              QUAD    S4R                       0.8806
558             QUAD    S4R                       0.8814
1747            TRI     S3R                       0.8819
734             QUAD    S4R                       0.8822
481             QUAD    S4R                       0.8841
1790            TRI     S3R                       0.8861
794             QUAD    S4R                       0.8863
527             QUAD    S4R                       0.8863
1757            TRI     S3R                       0.8863
1731            QUAD    S4R                       0.8865
431             QUAD    S4R                       0.8866
1502            QUAD    S4R                       0.8870
1776            TRI     S3R                       0.8870
1049            QUAD    S4R                       0.8871
43              QUAD    S4R                       0.8877
799             QUAD    S4R                       0.8880
1264            QUAD    S4R                       0.8886
2242            TRI     S3R                       0.8892
1685            QUAD    S4R                       0.8905
261             QUAD    S4R                       0.8909
1813            TRI     S3R                       0.8915
1995            TRI     S3R                       0.8917
475             QUAD    S4R                       0.8918
266             QUAD    S4R                       0.8918
315             QUAD    S4R                       0.8936
2014            TRI     S3R                       0.8940
982             QUAD    S4R                       0.8963
1824            TRI     S3R                       0.8964
178             QUAD    S4R                       0.8971
593             QUAD    S4R                       0.8973
2052            TRI     S3R                       0.8986
1240            QUAD    S4R                       0.8998
